Period,Project_ID,Division,Funding_Mechanism,Budget_Revenue,Actual_Revenue,Budget_FTE_Hours,Actual_FTE_Hours,Budget_Labor_Recovery,Actual_Labor_Recovery,Budget_Direct_Labor_Cost,Actual_Direct_Labor_Cost,Budget_Lab_OpEx,Actual_Lab_OpEx,Budget_Overhead,Actual_Overhead,Budget_Depreciation,Actual_Depreciation
2025-07-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,107280.37311251632,281.0244046722596,275.9061509652109,46848.32626028161,45995.08499167949,20374.26933873882,20145.67547703938,20146.36378923199,23359.70645344058,17486.682770192445,17486.682770192445,8849.377460624444,9291.846333655667
2025-08-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,102526.19845070725,281.0244046722596,306.5513293418052,46848.32626028161,51103.80612415747,20374.26933873882,22590.64821289932,20146.36378923199,21230.95376296355,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2025-09-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,94099.97544756206,281.0244046722596,276.6096340467609,46848.32626028161,46112.35952148938,20374.26933873882,20556.543600347704,20146.36378923199,21742.940577922232,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2025-10-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,96711.49293862926,281.0244046722596,279.0147044143504,46848.32626028161,46513.298085494775,20374.26933873882,20202.74160942699,20146.36378923199,21228.220772922898,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2025-11-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,98871.4751805196,281.0244046722596,279.1945697237128,46848.32626028161,46543.28262974012,20374.26933873882,20760.395105224252,20146.36378923199,18392.655542015127,17486.682770192445,17486.682770192445,8849.377460624444,9291.846333655667
2025-12-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,92171.07500051096,281.0244046722596,253.3225375368532,46848.32626028161,42230.271429449334,20374.26933873882,18875.0369617667,20146.36378923199,21746.960851984462,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2026-01-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,100106.90000378534,281.0244046722596,252.59763340699507,46848.32626028161,42109.425892128034,20374.26933873882,18461.91668426773,20146.36378923199,24189.295502168607,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2026-02-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,87618.02486816162,281.0244046722596,254.4919646619086,46848.32626028161,42425.221414508866,20374.26933873882,18452.285977559106,20146.36378923199,19723.41815200642,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2026-03-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,109776.5576722294,281.0244046722596,293.55039868709116,46848.32626028161,48936.478906759185,20374.26933873882,21176.89598151196,20146.36378923199,21506.695768997713,17486.682770192445,17486.682770192445,8849.377460624444,9291.846333655667
2026-04-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,89410.96478995463,281.0244046722596,283.3770321914881,46848.32626028161,47240.52231072169,20374.26933873882,20484.972962487915,20146.36378923199,19659.22980855684,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
